"","pathogens","Quant","Sample","type"
"18899","Helicobacter pylori",NA,"CSTOOL_TS_153_R3","CSTOOL"
"18900","EIEC",NA,"CSTOOL_TS_153_R3","CSTOOL"
"18901","Enterovirus",517.523124884776,"CSTOOL_TS_137_R3","CSTOOL"
"18902","EAEC",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18903","Ancyclostoma duodenale",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18904","Aeromonas",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18905","EPEC",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18906","Bacteroides fragilis",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18907","Campylobacter coli/jejuni",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18908","Astrovirus",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18909","Cyclospora cayetanesis",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18910","C hominis",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18911","Cryptosporidium spp.",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18912","C parvum",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18913","Stongyloides stercoralis",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18914","E. histolytica",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18915","ETEC-ST",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18916","Adenovirus 40/41",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18917","Giardia duodenalis",119020.001025288,"CSTOOL_TS_137_R3","CSTOOL"
"18918","E. coli/ Shigella",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18919","Ascaris",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18920","ETEC-LT",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18921","Necator americanus",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18922","Norovirus GI",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18923","Norovirus GII",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18924","Rotavirus A",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18925","Shigella flexneri 6",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18926","EHEC 0157H7",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18927","STEC",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18928","Salmonella typhi",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18929","Clostridium difficile",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18930","Vibrio cholerae",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18931","Trichuris",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18932","Salmonella enterica",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18933","Total E. coli",22420.1653850732,"CSTOOL_TS_137_R3","CSTOOL"
"18934","Helicobacter pylori",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18935","EIEC",NA,"CSTOOL_TS_137_R3","CSTOOL"
"18936","Enterovirus",NA,"CATTLE_SN_054_R3","CATTLE"
"18937","EAEC",NA,"CATTLE_SN_054_R3","CATTLE"
"18938","Ancyclostoma duodenale",NA,"CATTLE_SN_054_R3","CATTLE"
"18939","Aeromonas",NA,"CATTLE_SN_054_R3","CATTLE"
"18940","EPEC",NA,"CATTLE_SN_054_R3","CATTLE"
"18941","Bacteroides fragilis",NA,"CATTLE_SN_054_R3","CATTLE"
"18942","Campylobacter coli/jejuni",NA,"CATTLE_SN_054_R3","CATTLE"
"18943","Astrovirus",NA,"CATTLE_SN_054_R3","CATTLE"
"18944","Cyclospora cayetanesis",NA,"CATTLE_SN_054_R3","CATTLE"
"18945","C hominis",NA,"CATTLE_SN_054_R3","CATTLE"
"18946","Cryptosporidium spp.",NA,"CATTLE_SN_054_R3","CATTLE"
"18947","C parvum",NA,"CATTLE_SN_054_R3","CATTLE"
"18948","Stongyloides stercoralis",NA,"CATTLE_SN_054_R3","CATTLE"
"18949","E. histolytica",NA,"CATTLE_SN_054_R3","CATTLE"
"18950","ETEC-ST",NA,"CATTLE_SN_054_R3","CATTLE"
"18951","Adenovirus 40/41",NA,"CATTLE_SN_054_R3","CATTLE"
"18952","Giardia duodenalis",NA,"CATTLE_SN_054_R3","CATTLE"
"18953","E. coli/ Shigella",NA,"CATTLE_SN_054_R3","CATTLE"
"18954","Ascaris",NA,"CATTLE_SN_054_R3","CATTLE"
"18955","ETEC-LT",NA,"CATTLE_SN_054_R3","CATTLE"
"18956","Necator americanus",NA,"CATTLE_SN_054_R3","CATTLE"
"18957","Norovirus GI",NA,"CATTLE_SN_054_R3","CATTLE"
"18958","Norovirus GII",NA,"CATTLE_SN_054_R3","CATTLE"
"18959","Rotavirus A",NA,"CATTLE_SN_054_R3","CATTLE"
"18960","Shigella flexneri 6",NA,"CATTLE_SN_054_R3","CATTLE"
"18961","EHEC 0157H7",NA,"CATTLE_SN_054_R3","CATTLE"
"18962","STEC",NA,"CATTLE_SN_054_R3","CATTLE"
"18963","Salmonella typhi",NA,"CATTLE_SN_054_R3","CATTLE"
"18964","Clostridium difficile",NA,"CATTLE_SN_054_R3","CATTLE"
"18965","Vibrio cholerae",NA,"CATTLE_SN_054_R3","CATTLE"
"18966","Trichuris",NA,"CATTLE_SN_054_R3","CATTLE"
"18967","Salmonella enterica",NA,"CATTLE_SN_054_R3","CATTLE"
"18968","Total E. coli",8383.36819502189,"CATTLE_SN_054_R3","CATTLE"
"18969","Helicobacter pylori",NA,"CATTLE_SN_054_R3","CATTLE"
"18970","EIEC",NA,"CATTLE_SN_054_R3","CATTLE"
"18971","Enterovirus",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18972","EAEC",101.798571226205,"HHSOIL_SN_038_R1","HHSOIL"
"18973","Ancyclostoma duodenale",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18974","Aeromonas",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18975","EPEC",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18976","Bacteroides fragilis",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18977","Campylobacter coli/jejuni",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18978","Astrovirus",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18979","Cyclospora cayetanesis",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18980","C hominis",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18981","Cryptosporidium spp.",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18982","C parvum",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18983","Stongyloides stercoralis",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18984","E. histolytica",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18985","ETEC-ST",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18986","Adenovirus 40/41",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18987","Giardia duodenalis",453.405759579977,"HHSOIL_SN_038_R1","HHSOIL"
"18988","E. coli/ Shigella",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18989","Ascaris",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18990","ETEC-LT",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18991","Necator americanus",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18992","Norovirus GI",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18993","Norovirus GII",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18994","Rotavirus A",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18995","Shigella flexneri 6",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18996","EHEC 0157H7",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18997","STEC",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18998","Salmonella typhi",NA,"HHSOIL_SN_038_R1","HHSOIL"
"18999","Clostridium difficile",NA,"HHSOIL_SN_038_R1","HHSOIL"
"19000","Vibrio cholerae",NA,"HHSOIL_SN_038_R1","HHSOIL"
"19001","Trichuris",NA,"HHSOIL_SN_038_R1","HHSOIL"
"19002","Salmonella enterica",NA,"HHSOIL_SN_038_R1","HHSOIL"
"19003","Total E. coli",1201.82239810635,"HHSOIL_SN_038_R1","HHSOIL"
"19004","Helicobacter pylori",NA,"HHSOIL_SN_038_R1","HHSOIL"
"19005","EIEC",NA,"HHSOIL_SN_038_R1","HHSOIL"
"19006","Enterovirus",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19007","EAEC",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19008","Ancyclostoma duodenale",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19009","Aeromonas",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19010","EPEC",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19011","Bacteroides fragilis",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19012","Campylobacter coli/jejuni",1411.67732779337,"CHCKNF_SN_044_R1","CHCKNF"
"19013","Astrovirus",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19014","Cyclospora cayetanesis",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19015","C hominis",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19016","Cryptosporidium spp.",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19017","C parvum",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19018","Stongyloides stercoralis",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19019","E. histolytica",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19020","ETEC-ST",59.5611097601092,"CHCKNF_SN_044_R1","CHCKNF"
"19021","Adenovirus 40/41",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19022","Giardia duodenalis",630.575344196445,"CHCKNF_SN_044_R1","CHCKNF"
"19023","E. coli/ Shigella",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19024","Ascaris",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19025","ETEC-LT",322.934074158913,"CHCKNF_SN_044_R1","CHCKNF"
"19026","Necator americanus",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19027","Norovirus GI",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19028","Norovirus GII",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19029","Rotavirus A",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19030","Shigella flexneri 6",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19031","EHEC 0157H7",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19032","STEC",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19033","Salmonella typhi",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19034","Clostridium difficile",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19035","Vibrio cholerae",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19036","Trichuris",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19037","Salmonella enterica",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19038","Total E. coli",168771.552030688,"CHCKNF_SN_044_R1","CHCKNF"
"19039","Helicobacter pylori",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19040","EIEC",NA,"CHCKNF_SN_044_R1","CHCKNF"
"19041","Enterovirus",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19042","EAEC",165.988078847015,"CHCKNF_SN_063_R4","CHCKNF"
"19043","Ancyclostoma duodenale",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19044","Aeromonas",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19045","EPEC",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19046","Bacteroides fragilis",9334.74733641853,"CHCKNF_SN_063_R4","CHCKNF"
"19047","Campylobacter coli/jejuni",9334.74733641853,"CHCKNF_SN_063_R4","CHCKNF"
"19048","Astrovirus",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19049","Cyclospora cayetanesis",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19050","C hominis",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19051","Cryptosporidium spp.",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19052","C parvum",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19053","Stongyloides stercoralis",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19054","E. histolytica",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19055","ETEC-ST",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19056","Adenovirus 40/41",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19057","Giardia duodenalis",242.288794481432,"CHCKNF_SN_063_R4","CHCKNF"
"19058","E. coli/ Shigella",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19059","Ascaris",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19060","ETEC-LT",130.826748955177,"CHCKNF_SN_063_R4","CHCKNF"
"19061","Necator americanus",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19062","Norovirus GI",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19063","Norovirus GII",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19064","Rotavirus A",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19065","Shigella flexneri 6",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19066","EHEC 0157H7",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19067","STEC",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19068","Salmonella typhi",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19069","Clostridium difficile",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19070","Vibrio cholerae",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19071","Trichuris",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19072","Salmonella enterica",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19073","Total E. coli",8133554.20579949,"CHCKNF_SN_063_R4","CHCKNF"
"19074","Helicobacter pylori",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19075","EIEC",NA,"CHCKNF_SN_063_R4","CHCKNF"
"19076","Enterovirus",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19077","EAEC",3713.42796764999,"CSTOOL_SN_054_R4","CSTOOL"
"19078","Ancyclostoma duodenale",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19079","Aeromonas",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19080","EPEC",5667.43445515443,"CSTOOL_SN_054_R4","CSTOOL"
"19081","Bacteroides fragilis",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19082","Campylobacter coli/jejuni",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19083","Astrovirus",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19084","Cyclospora cayetanesis",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19085","C hominis",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19086","Cryptosporidium spp.",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19087","C parvum",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19088","Stongyloides stercoralis",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19089","E. histolytica",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19090","ETEC-ST",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19091","Adenovirus 40/41",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19092","Giardia duodenalis",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19093","E. coli/ Shigella",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19094","Ascaris",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19095","ETEC-LT",2423.30881548972,"CSTOOL_SN_054_R4","CSTOOL"
"19096","Necator americanus",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19097","Norovirus GI",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19098","Norovirus GII",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19099","Rotavirus A",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19100","Shigella flexneri 6",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19101","EHEC 0157H7",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19102","STEC",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19103","Salmonella typhi",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19104","Clostridium difficile",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19105","Vibrio cholerae",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19106","Trichuris",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19107","Salmonella enterica",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19108","Total E. coli",539077.326822786,"CSTOOL_SN_054_R4","CSTOOL"
"19109","Helicobacter pylori",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19110","EIEC",NA,"CSTOOL_SN_054_R4","CSTOOL"
"19111","Enterovirus",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19112","EAEC",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19113","Ancyclostoma duodenale",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19114","Aeromonas",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19115","EPEC",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19116","Bacteroides fragilis",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19117","Campylobacter coli/jejuni",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19118","Astrovirus",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19119","Cyclospora cayetanesis",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19120","C hominis",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19121","Cryptosporidium spp.",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19122","C parvum",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19123","Stongyloides stercoralis",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19124","E. histolytica",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19125","ETEC-ST",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19126","Adenovirus 40/41",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19127","Giardia duodenalis",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19128","E. coli/ Shigella",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19129","Ascaris",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19130","ETEC-LT",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19131","Necator americanus",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19132","Norovirus GI",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19133","Norovirus GII",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19134","Rotavirus A",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19135","Shigella flexneri 6",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19136","EHEC 0157H7",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19137","STEC",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19138","Salmonella typhi",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19139","Clostridium difficile",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19140","Vibrio cholerae",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19141","Trichuris",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19142","Salmonella enterica",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19143","Total E. coli",53352.6108500382,"SHEEPF_SN_060_R3","SHEEPF"
"19144","Helicobacter pylori",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19145","EIEC",NA,"SHEEPF_SN_060_R3","SHEEPF"
"19146","Enterovirus",NA,"GOATSF_SN_063_R4","GOATSF"
"19147","EAEC",NA,"GOATSF_SN_063_R4","GOATSF"
"19148","Ancyclostoma duodenale",NA,"GOATSF_SN_063_R4","GOATSF"
"19149","Aeromonas",NA,"GOATSF_SN_063_R4","GOATSF"
"19150","EPEC",NA,"GOATSF_SN_063_R4","GOATSF"
"19151","Bacteroides fragilis",NA,"GOATSF_SN_063_R4","GOATSF"
"19152","Campylobacter coli/jejuni",NA,"GOATSF_SN_063_R4","GOATSF"
"19153","Astrovirus",NA,"GOATSF_SN_063_R4","GOATSF"
"19154","Cyclospora cayetanesis",NA,"GOATSF_SN_063_R4","GOATSF"
"19155","C hominis",NA,"GOATSF_SN_063_R4","GOATSF"
"19156","Cryptosporidium spp.",NA,"GOATSF_SN_063_R4","GOATSF"
"19157","C parvum",NA,"GOATSF_SN_063_R4","GOATSF"
"19158","Stongyloides stercoralis",NA,"GOATSF_SN_063_R4","GOATSF"
"19159","E. histolytica",NA,"GOATSF_SN_063_R4","GOATSF"
"19160","ETEC-ST",NA,"GOATSF_SN_063_R4","GOATSF"
"19161","Adenovirus 40/41",NA,"GOATSF_SN_063_R4","GOATSF"
"19162","Giardia duodenalis",NA,"GOATSF_SN_063_R4","GOATSF"
"19163","E. coli/ Shigella",NA,"GOATSF_SN_063_R4","GOATSF"
"19164","Ascaris",NA,"GOATSF_SN_063_R4","GOATSF"
"19165","ETEC-LT",NA,"GOATSF_SN_063_R4","GOATSF"
"19166","Necator americanus",NA,"GOATSF_SN_063_R4","GOATSF"
"19167","Norovirus GI",NA,"GOATSF_SN_063_R4","GOATSF"
"19168","Norovirus GII",NA,"GOATSF_SN_063_R4","GOATSF"
"19169","Rotavirus A",NA,"GOATSF_SN_063_R4","GOATSF"
"19170","Shigella flexneri 6",NA,"GOATSF_SN_063_R4","GOATSF"
"19171","EHEC 0157H7",NA,"GOATSF_SN_063_R4","GOATSF"
"19172","STEC",NA,"GOATSF_SN_063_R4","GOATSF"
"19173","Salmonella typhi",NA,"GOATSF_SN_063_R4","GOATSF"
"19174","Clostridium difficile",NA,"GOATSF_SN_063_R4","GOATSF"
"19175","Vibrio cholerae",NA,"GOATSF_SN_063_R4","GOATSF"
"19176","Trichuris",NA,"GOATSF_SN_063_R4","GOATSF"
"19177","Salmonella enterica",NA,"GOATSF_SN_063_R4","GOATSF"
"19178","Total E. coli",5543.42367698402,"GOATSF_SN_063_R4","GOATSF"
"19179","Helicobacter pylori",NA,"GOATSF_SN_063_R4","GOATSF"
"19180","EIEC",NA,"GOATSF_SN_063_R4","GOATSF"
"19181","Enterovirus",100.420620817231,"CHCKNF_SN_038_R3","CHCKNF"
"19182","EAEC",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19183","Ancyclostoma duodenale",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19184","Aeromonas",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19185","EPEC",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19186","Bacteroides fragilis",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19187","Campylobacter coli/jejuni",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19188","Astrovirus",527.053964500523,"CHCKNF_SN_038_R3","CHCKNF"
"19189","Cyclospora cayetanesis",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19190","C hominis",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19191","Cryptosporidium spp.",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19192","C parvum",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19193","Stongyloides stercoralis",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19194","E. histolytica",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19195","ETEC-ST",973.027284048254,"CHCKNF_SN_038_R3","CHCKNF"
"19196","Adenovirus 40/41",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19197","Giardia duodenalis",2649.86632220514,"CHCKNF_SN_038_R3","CHCKNF"
"19198","E. coli/ Shigella",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19199","Ascaris",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19200","ETEC-LT",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19201","Necator americanus",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19202","Norovirus GI",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19203","Norovirus GII",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19204","Rotavirus A",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19205","Shigella flexneri 6",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19206","EHEC 0157H7",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19207","STEC",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19208","Salmonella typhi",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19209","Clostridium difficile",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19210","Vibrio cholerae",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19211","Trichuris",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19212","Salmonella enterica",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19213","Total E. coli",498148.270853309,"CHCKNF_SN_038_R3","CHCKNF"
"19214","Helicobacter pylori",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19215","EIEC",NA,"CHCKNF_SN_038_R3","CHCKNF"
"19216","Enterovirus",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19217","EAEC",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19218","Ancyclostoma duodenale",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19219","Aeromonas",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19220","EPEC",47.9450412933358,"SHEEPF_SN_037_R3","SHEEPF"
"19221","Bacteroides fragilis",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19222","Campylobacter coli/jejuni",251.107215185007,"SHEEPF_SN_037_R3","SHEEPF"
"19223","Astrovirus",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19224","Cyclospora cayetanesis",4359.20625654849,"SHEEPF_SN_037_R3","SHEEPF"
"19225","C hominis",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19226","Cryptosporidium spp.",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19227","C parvum",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19228","Stongyloides stercoralis",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19229","E. histolytica",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19230","ETEC-ST",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19231","Adenovirus 40/41",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19232","Giardia duodenalis",9766.80229950724,"SHEEPF_SN_037_R3","SHEEPF"
"19233","E. coli/ Shigella",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19234","Ascaris",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19235","ETEC-LT",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19236","Necator americanus",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19237","Norovirus GI",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19238","Norovirus GII",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19239","Rotavirus A",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19240","Shigella flexneri 6",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19241","EHEC 0157H7",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19242","STEC",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19243","Salmonella typhi",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19244","Clostridium difficile",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19245","Vibrio cholerae",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19246","Trichuris",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19247","Salmonella enterica",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19248","Total E. coli",771.644614755409,"SHEEPF_SN_037_R3","SHEEPF"
"19249","Helicobacter pylori",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19250","EIEC",NA,"SHEEPF_SN_037_R3","SHEEPF"
"19251","Enterovirus",NA,"CSTOOL_TS_157_R2","CSTOOL"
